
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
2605,The Little Ones,indie,2008,dj gold,gossip girl,indie pop,playlist,rock,rockville ca,the little ones,yay
2606,Cass McCombs,acoustic,american,experimental,folk,indie,indie folk,playlist,rockville ca,singer-songwriter,usa
2607,The Duke Spirit,indie,garage rock,british,female vocalists,punk,favorite,gossip girl,indie rock,nikita,noise
2608,Love Is All,alternative,indie,indie pop,swedish,and i hate that my feet are dancing so much,dance punk,female vocalists,female vocalists i like,indie rock,lo-fi
2609,Miss Kittin & The Hacker,electronic,female vocalists,electroclash,00s,synthpop,post-punk,noise pop,new wave,neo-electro,my electro feelings
2610,Deceptikon,bass,beats,deep,downtempo,dub,electronic,hip-hop,instrumental hip-hop,just good music,myfavoritesongs
2611,Blues Traveler,blues,rock,1995,1996,alternative,blues rock,colors,favorites,guitar,guitar blues
2612,Neil Young & Crazy Horse,classic rock,rock,70s,folk,hard rock,singer-songwriter,60s,american,canadian,male vocalists
2613,芸能山城組,anime,art music,avant-garde,berep guest dj closedmouth jfr,berep shows the love,check,coisa de deus,contemporary chamber music,epic,film music composer
2614,Jimmy Cliff,reggae,70s,ska,60s,80s,jamaican,awesome-ness,best songs of the 60s,best songs of the 70s,chill
2615,The Kings of Nuthin',punkabilly,psychobilly,rockabilly,50s rock revival,approfondire,best unknown bands tracks to be observed,grave stompers,neo-swing,psychobilly swing,punk rock
2616,Edwyn Collins,singer-songwriter,pop,alternative,mistagged track,songs i sing in the shower,scottish,rock,new wave,indie,amazing grace
2617,Kula Shaker,britpop,uk,rock,alternative rock,1996,indie rock,religion,psychedelic,psicodelia,my fav songs
2618,Mono Inc.,asp,ballad,dad,depeche mode,gothic metal,gothrock,gothrock gotik romantic sad,in my heart,sisters of mercy,temple of the torn
2619,Manfred Mann,classic rock,oldies,60s,cover,sixties,progressive rock,popular,pop,old,mod
2620,Baroness,metal,post-rock,progressive metal,doom metal,instrumental,post-hardcore,post-metal,progressive rock,sludge,stoner metal
2621,Patricia Kaas,chanson francaise,europa,europe,france,french,german,melancholic,patricia kaas,pop,romantic
2622,Azad,german hiphop,deutsch rap,deutsche hip-hop,deutschrap,frankfurt am main,german,german hip hop,german hip-hop,hardcore,hardcore rap
2623,Joan Baez,folk,female vocalists,singer-songwriter,60s,classic rock,covers,acoustic,beautifulsad,acoustic guitar,rock
2624,Buckethead,experimental,instrumental,progressive rock,avant-garde,guitar,guitar virtuoso,ambient,darkambient,progressive metal,rock
2625,Mustafa Sandal,arabic,turkish,male vocalists,00s,sexy,world,turkish pop,turkic,turkce,turk
2626,周杰倫,asian,chinese,guys i would fuck,indie-romantic,jay chou,love-rock,please let me lick you,rnb,rock,rock-pop
2627,Mother Love Bone,grunge,rock,90s,1990,alternative rock,glam metal,great lyrics,hair metal,hard rock,love this song
2628,Run-D.M.C.,80s,hip-hop,rap,american,old school,rock,1986,bad days,cool,egzamin
2629,Firehouse,hard rock,80s,hair metal,rock,classic rock,glam metal,1990,1992,1995,90s
2630,Teenage Fanclub,power pop,scottish,alternative,indie,seen live,1997,britpop,glasgow,indie pop,indie rock
2631,Big Star,power pop,70s,rock,apocalyptic,classic rock,love,mellow,proto-punk,rock n roll,seraphic
2632,Republica,alternative,90s,1996,female vocalists,synth pop,rock,riot grrrl,post-punk,now i can dance,my favs
2633,Felix da Housecat,house,electro,electroclash,electronic,00s,synthpop,new wave,neo-pop,neo-electro,just chillin
2634,The Shamen,90s,electronic,electronica,alternative rock,ambient,classic,dance,dub,favorite songs,techno
2635,Meat Beat Manifesto,electronic,industrial,ebm,experimental,ambient,covers,dub,electro,electronica,fave songs ever
2636,Rick GhraphiXxX,amazing,lovin it,southern music,south rap,rick-villa,rick ghraphixxx,rick,relaxed-music,rap,no1fan
2637,R. Kelly,rnb,90s,soul,hip hop,rap,hip-hop,male vocalists,r kelly,romantic,sexy
2638,Q-Tip,best,classic,cool,crazy,funny,liiive,lol,rhymez,rhythmalizm,rock
2639,Andre 3000,hip-hop,00s,alternative hip-hop,american,chill,funk,harmonies,hip hop,male vocalists,rap
2640,Triumph,hard rock,70s,aor,arena rock,baixar,classic rock,hard-heavy rock,heavy metal,heavy rock,i am canadian
2641,The Stills,canadian,emo,favorite songs,favorites,french,heartbroke,indie,mellow,new album loves,sxsw2006
2642,Bronski Beat,80s,new wave,synthpop,british,synth pop,electronic,cover,dance-pop,deep-clash,disco
2643,Amorphous Androgynous,chillout,ambient,psychedelic,electronic,could be mistaken for sth else,downtempo,electronica,experimental,idm,trip-hop
2644,The Hoosiers,indie pop,indie,rock,british,indie rock,alternative,album favourite,indie luv,pop,oui fm
2645,Anne Clark,new wave,female vocalists,synth pop,80s,cities,death,electro pop,electronic,post-punk,remix
2646,Pan Sonic,minimal,experimental,00s,ambient,anti-witch house,avant-garde,drone,electro,electronica,idm
2647,Mantis Psi,abstract,ambient,avantgarde,chillout,darkwave,experimental,idm,lightwave,new age,noise
2648,Hildur Guðnadóttir,cello,icelandic,ambient,atmospheric,club transmediale,deep,electronic,instrumental,just good music,live
2649,Borko,icelandic,post-rock,indie,lo-fi,ambient,electronic,electronica,experimental,indie pop,indietronica
2650,Nikka Costa,90s,<3,ballad,cute,funky white bitch,goddesses,hellcats,perfection,seen live,soul
2651,The Four Tops,60s,soul,rhythm and blues,motown,1964,mellow,the subjunctive,the beatles,tambourine,puppet on a string
2652,Scarface,awesome,catchy,classic,favorite,gangsta rap,good shit,great lyricists,happy hardcore,neat,real talk
2653,The Tears,indie,british,britpop,alternative,cute but slightly sinister,i buy singles for b-sides like this,indie rock,pop,rock,seen live
2654,Tear Down The Lies!,00s,psychedelic,indie rock,instrumental,james watt,mellow,noise,noise pop,post-punk,reverb
2655,Electrelane,electronic,alternative,dream pop,experimental,favorites,female vocalists,girlamazing,indie,indie rock,post-rock
2656,Matell,barbara streisand,marvin gaye,top 100 single,top 100 pop songs,top 100 artist,tinband,thomas ian nicholas band,the way we were,strange fruit,soundtrack
2657,Shirley Bassey,female vocalists,soul,welsh,ballad,bond,british,english,gorgeousity,james bond,jazz
2658,The Supremes,60s,soul,motown,female vocalists,rnb,oldies,awesome,sixties,pop,obscure
2659,Diana Ross and The Supremes,soul,60s,oldies,1964,1968,breakup songs,chillout,classic rock,female vocalists,guilty pleasures
2660,S.O.S. Band,80s,rnb,funk,soul,american,dance,disco,funky,groove,oldies
2661,The Noise Affinity,alt,alternative,minimalist,minimal,industrial,gothic,experimental,electronic,electro,downtempo
2662,Pig,alternative,avant-garde,central point,chef musinum,electro industrial,experimental,industrial,industrial rock,lostfreeq,new beat
2663,Muslimgauze,experimental,ambient,90s,arabic,dub,electronica,england,idm,industrial,muslim
2664,鈴木あみ,female vocalists,90s,dance,japanese,00s,ami suzuki,j-pop,japanese trance,ladytronica,pop
2665,Buono!,2008,2009,2010,anime,asian,buono,female vocalist,female vocalists,happy,hello project
2666,Corpore,alternative,progressive rock,melodic death metal,metal,metalcore,nu metal,pop,post-hardcore,power metal,progressive metal
2667,Tired Of Waiting,aragon,death metal,estudios teocida,metalcore,nu metal,spain,spanish,spanish metal,teocida,zaragoza
2668,Air Traffic,indie,british,indie rock,alternative,air traffic,alternative rock,britpop,i love this song,male vocalists,pop
2669,A Place to Bury Strangers,post-punk,noise,noise rock,shoegaze,experimental,indie,indie rock,mute records,psychedelic,seen live
2670,Coyote Clean Up,10s,dream pop,electronic,idm,trip-hop,00s,american,chillwave,electronica,experimental
2671,Curtis Mayfield,funk,soul,70s,rnb,70,sampled,top 40,singer-songwriter,seventies,setentas
2672,Mad Sin,psychobilly,punk,punkabilly,rockabilly,50s rock revival,best songs of music i already own,german,grave stompers,halloween,punk rock
2673,THE VICKERS,alternative,band,cool music,firenze,indie rock,italia,italian,italian alternative,keep clear,melodic
2674,Tom Zé,experimental,mpb,brazilian,60s,70s,alternative,avant-garde,brasil,brazil,folk
2675,Bomfunk MC's,dance,breakbeat,electronic,90s,bomfunk mcs,finnish,hip-hop,house,techno,trance
2676,dEUS,alternative,rock,bass,best indie ever,dance,indie,oui fm,pastel,seen live,sleaze
2677,Murcof,ambient,electronic,electronica,idm,minimal,check,dark ambient,electro,experimental,favorites
2678,Dntel,ambient,electronica,indietronica,idm,90s,indie pop,trip-hop,post-rock,mellow,lounge
2679,Nathan Fake,minimal,electronica,electro,idm,deconstruction,deep-clash,deepclash,descoperiri,electroclash,headphones
2680,Skalpel,chillout,acid jazz,electronic,nu jazz,jazz,downtempo,ninja tune,trip-hop,trip hop,nu-jazz
2681,Mouse on Mars,idm,experimental,ambient,90s,techno,post-rock,noise,lounge,instrumental,indietronica
2682,Death in Vegas,electronic,trip-hop,alternative,dub,electronica,indie,best songs of the 00s,psychedelic,techno,songs for gil
2683,Crash Test Dummies,alternative,90s,alternative rock,1994,1995,best songs in the world,canadian,cars,mistagged track,movie songs
2684,The Music,rock,alternative,indie rock,alternative rock,britpop,fave,indie,nome escroto,post-punk,progressive rock
2685,Mad Season,grunge,seattle,90s,alternative rock,blues,depression is kicking in,layne staley,rock,sad,seattle sound
2686,Kingdom,hardcore,ambient,dark ambient,doom metal,dub tech,dubtech,electronic,epic,futurepop,hip hop
2687,Cliff Burton,metal,1980s,80s,thrash,the best bassint in the world,metallica,legendary,legend,heavy metal,god of metal bass
2688,Mario,rnb,hip-hop,soul,0 play yet,1,brandy,cute,favorites,gay,hip hop
2689,Carissa's Wierd,slowcore,acoustic,alternative,dream pop,gorgeous,ich liebe dich,indie,indie rock,rock,shoegaze
2690,Bear in Heaven,electronica,experimental,post-rock,ambient,00s,werewolves,werewolf,usa,shoegaze,seen live
2691,Andy Bell,british,synth pop,synthpop,80s,acoustic,acoustic rock,alternative,alternative rock,electronic,indie
2692,Cliff Richard,60s,classic rock,00s,1963,1991,70s,80s,90s,best christmas songs,best songs of the 50s
2693,Andy Williams,christmas,60s,best christmas songs,classic rock,easy listening,holiday soundtrack,lounge,male vocalists,oscar winning songs,pop
2694,Doris Day,female vocalists,1940s,1950s,40s,50's,50s,best songs of 1900 to 1950,best songs of the 50s,best songs of the 60s,classic jazz
2695,Jo Stafford,1940s,1950s,40s,50's,50s,best songs of the 50s,catchy,christmas blend,fifties,hit
2696,The Like,indie,80s,acoustic rock,alternative,britpop,grunge,indie pop,indie rock,new wave,post-punk
2697,Hüsker Dü,80s,alternative,american punk,american underground,awesome,college rock,emo,post hardcore,post-punk,punk
2698,Morningwood,indie rock,rock,alternative,dance,female vocalists,american,best of me,classic,female vocals,good bands
2699,Electrocute,female vocalists,electronic,electro,electroclash,indie,pop,electronica,electropop,deconstruction,gay
2700,Synesthesia,progressive metal,alternative rock,love,solo,rockabilly,rock dominicano,rock,progressive rock,progressive,opeth
2701,Blindside,hardcore,hard rock,rock,awesome,christian,christian rock,cool as,diego 12,fantastic,post-hardcore
2702,Lali Puna,indietronica,electronica,indie pop,trip-hop,chillout,synthpop,electronic,female vocalists,idm,iron jesus
2703,The Germs,punk,70s,american punk,american underground,art punk,darby crash,hardcore punk,old school,plotting,poetic
2704,The Seeds,psychedelic,60s,garage rock,psychedelic rock,1966,60s garage,60s psychedelic,classic rock,eerie,garage
2705,Television Personalities,post-punk,indie pop,eerie,indie,indie rock,lo-fi,new wave,post punk,somber,twee
2706,Slaughter and The Dogs,british,indie-romantic,love-rock,pop-rock,punk,punk rock,rock,rock-pop,romantic rock,sertse
2707,Razor,thrash metal,speed metal,2008,80s,british,canadian metal,heavy metal,hiphop,mainz,metal
2708,X-Mal Deutschland,80s,post-punk,4ad,batcave,female vocalists,german,goth,goth rock,gothic rock,punkwave
2709,Polara,best bands,brasil,bruno likes this song,hardcore,indie,makes me wanna kick someones ass,makes me wanna punch people for fun,rock,roquinho,soundtrack of my childhood
2710,Wilmie,78violet,acoustic,wilmie,violao,taylor momsen,rihanna,pussycat dolls,pretty reckless,pop singer,pop
2711,The Replacements,alternative,80s,post-punk,punk,power pop,rock,acoustic,alternative rock,american underground,college rock
2712,ZYGONOCK!,8-bit,amazing,beep,beep beep,chip music,chiptune,electronic,fast,sexy,trippy
2713,Charles Mingus,jazz,bebop,avant-garde,bass,composer,cool jazz,experimental,favorite artist,free,free jazz
2714,Bebel Gilberto,bossa nova,brazil,brazilian,chillout,female vocalists,jazz,lounge,mpb,aana,portugues
2715,Embrace,indie rock,rock,alternative,alternative rock,britpop,emo,indie,2005,2006,british
2716,My Ruin,metal,female vocalists,gothic,alternative metal,female fronted metal,hard rock,metalcore,nu,riot grrrl,rock
2717,Trail of Tears,female fronted metal,gothic metal,symphonic metal,metal,black metal,doom metal,female vocalists,melodic black metal,norwegian,progressive metal
2718,Brodka,polish,electronic,pop,folk,hot,dance,love,kocham,sexy,polish music
2719,An Albatross,experimental,grindcore,noise,00s,electronica,hardcore,mathcore,noisecore,skream out loud,usa
2720,Saybia,rock,indie,indie rock,soft rock,alternative,alternative rock,cool,descoperiri,inlove,love it
2721,Ive Mendes,lounge,aana,acid jazz,beautiful,bossa nova,brazil,brazilian,chillout,female vocalists,jazz
2722,Under Byen,post-rock,downtempo,experimental,indie,love it,piano,seen live,special,swedish,vocal
2723,Tyrese,00s,kiley dean,tyler adam,singer-songwriter,rnb,pop,monica,mellow,male vocalists,kelly rowland
2724,Jamie Foxx,rnb,ballad,sexy,2008,hip-hop,male vocalists,mellow,mya,neo-soul,oops
2725,Moenia,spanish,90s,latin,electronic,mexican pop,synth pop,romantic,psychedelic,pop,new wave
2726,Marc Anthony,latin,salsa,ballad,beautiful,breakup songs,childhood memories,chill zone,dark songs,guilty pleasures,guitar
2727,Hanzel und Gretyl,industrial,industrial metal,industrial rock,coldwave,ebm,electronic,german,metal,rock,rock hard
2728,Monolake,minimal,ambient,electronic,idm,dark,dark ambient,dub,electro,experimental,germany
2729,Bob Sinclar,dance,house,electronic,french,electronica,pop,best free stuff,best songs of the 00s,chillout,club
2730,John Powell,soundtrack,instrumental,classic,classical,composer,eldad,for work,jean marc toma,mistagged track,tamir
2731,Uh Huh Her,electronic,female vocalists,indie pop,indie,indie rock,indietronica,synthpop,singer-songwriter,rock,pop
2732,Violins,alternative,brazilian rock,indie rock,brasil,brazil,brazilian,direito de ser nada,rock,rock independente,violins
2733,The Walkmen,indie,indie rock,acoustic,singer-songwriter,rock,new wave,mellow,male vocalists,lastfm,instrumental
2734,Pzychobitch,ebm,industrial,electro,electronic,electroclash,electropop,female vocals,german,rock hard,ultimate favorite
2735,Jan Jelinek,ambient,electronic,idm,minimal,electronica,techno,experimental,leaf,minimalism,wonderful through headphones
2736,GreenGender,electronic,ambient,idm,headphones,wish list,techno,psy chill,odd,minimal techno,minimal
2737,Alex Under,minimal,techno,ambient,deep-clash,electro,electroclash,electronic,electronica,idm,minimal techno
2738,Hillsong,worship,christian rock,gospel,acoustic,adoracao,brooke fraser,christian,cristian rock,diego,female vocalists
2739,Planetshakers,christian,christian rock,worship,awesome god,christian music,gospel,inspiring,powerful,praise,rock
2740,Richard Hawley,singer-songwriter,indie,manchester sound,sheffield,sheffiel bands,seen live,sad and beautifull,rain,pop,80s
2741,Bernard Butler,britpop,singer-songwriter,hey song youre so fucking cute,indie,rock,90s,pop,vaguely homosexual,songs that have whoo in them,seen live
2742,Jarvis Cocker,british,alternative,britpop,singer-songwriter,indie pop,seen live,brit-pop,cover,covers,male vocalists
2743,Superchic[k],christian rock,christian,rock,anointed,diego 12,female vocalist,happy song,male vocals,preferidas,quod me nutrit me destruit
2744,Youth Group,indie,indie rock,acoustic,indie pop,pop,rock,the oc,alternative,alternative rock,chillout
2745,Message to Bears,acoustic,ambient,atmospheric,beautiful,chill,dreamy,electronic,folk,instrumental,mellow
2746,Мельница,folk,2006,alternative,eastern europe rock,female vocalists,female-vocalists,pop,russian,seen live,the best
2747,Aliceffekt,8-bit,ambient,chipcore,cold,darkwave,gabber,glitch,hard house,idm,industrial
2748,Billy Ocean,80s,disco,pop,soul,love songs,80s pop,guilty pleasures,male vocalists,mellow,new wave
2749,Мирбек Атабеков,asian,central asia,world music,world,turkish pop,turkish,turkic world,turkic,turk,traditional
2750,Jody Watley,80s,90s,dance,female vocalists,pop,soul,00s,artists,broken beat,classic house
2751,R. Carlos Nakai,ethnic,ethno,etno,flute,instrumental,native,native american,native american flute,turk dunyasi,world
2752,Султан Садыралиев,asian,male,world,turkic world,turkic,turk,traditional,pop-folk,pop,male vocalists
2753,Urker,00s,kazakhstan,world music,world,turkic world,traditional,rock,pop-folk,kazakistan,kazakh pop
2754,Muzart,asian,kazakh pop,world music,world,turkic world,turkic,rock,pop-folk,kazakistan,kazakhstan
2755,Shahzoda,central asia,dance,world,uzbekistan,uzbek pop,uzbek,turkic world,turk,pop-folk,pop
2756,Elnare,central asia,dance,world music,world,turkish pop,turkish,turkic world,turkce,turk,pop-folk
2757,Ulytau,folk,rock,asian,classical,instrumental,kazakistan,turk dunyasi,turkic world,turkish,world
2758,Ильяз Абдыразаков,asian,male,turkic world,turkic,turk,rnb,pop,male vocalist,kyrgyzstan,central asia
2759,oOoOO,witch house,electronic,10s,experimental,indie,idm,avant-garde,shoegaze,post-electroclash,post electroclash
2760,Gregory and the Hawk,indie,acoustic,female vocalists,folk,indie pop,alternative rock,american,dream pop,favorites,folk rock
2761,Gryphon,progressive rock,anti-witch house,art rock,avant-garde,flute,in the witch house family,old england,prog folk,progressive,renaissance
2762,Gang Gang Dance,noise,avant-garde,best song ever,check,experimental,girlamazing,my angular favourites,new weird america,post-rock,seen live
2763,Dictaphone,idm,jazz,21st century,abstract,avant-garde,coisa de deus,dark,dark ambient,electronica,epic
2764,Herbie Hancock,jazz,piano,jazz fusion,funk,fusion,acid jazz,groove,instrumental hip hop,top100,soundtrack
2765,Godhead,industrial,rock,alternative,alternative metal,cover,covers,heavy,industrial metal,industrial rock,metal
2766,Legowelt,electro,electronic,acid,bunker,den haag,disco,dutch,electronica,rave,seen live
2767,Cell,ambient,dark,dark ambient,deep,downtempo,dream,electro,psychedelic,relax,spacy downtempo
2768,Alden Tyrell,den haag,disco,dutch,electro,electronic,just good music,seen live,the hague,the west coast sound of holland,todaysart
2769,Halestorm,female vocalists,hard rock,rock,00s,alternative metal,baixar,female vocalist,not emo,post-grunge,seen live
2770,Airiel,shoegaze,00s,electronica,post-rock,noise rock,instrumental,indie,experimental,electronic,10s
2771,The Pogues,punk,folk,irish,christmas,rock,80s,favorites,female vocalists,alternative,folk rock
2772,Dancing Ghosts,ambient,brazilian,doom metal,experimental,modern hardcore,modern screamo,post-hardcore,post-rock,real screamo,screamo
2773,Nvblado,ambient,post-rock,experimental,real screamo,screamo,skram,atmospheric,brazilian,drone,post-metal
2774,Rosetta,post-rock,ambient,metal,post metal,sludge,alternative,atmospheric sludge,dat riff,experimental,holy fucking shit i came in fucking buckets
2775,Laika,trip-hop,chillout,downtempo,electronic,ambient,favorite,female vocalists,indie,jazz,love it
2776,Klaus Schulze,ambient,electronic,experimental,berlin school,chill,chillout,deutsch,electronica,ethereal,instrumental
2777,Abdullah Ibrahim,piano,bass,multiculti,south african,percussive,muslim,multikulti,multicultural,jazz piano,eclectic
2778,Cannonball Adderley,jazz,bebop,best,cool jazz,lol,quickjazz,rhythmalizm,saxophone,smooth,top100
2779,Hank Mobley,saxophone,chillout,classic,cool,crazy,funny,instrumental,jazz,jazz sax,jazzy
2780,Wayne Shorter,jazz,saxophone,best,chillout,classic,composer,cool,flute,jazz sax,jazzy
2781,Yndi Halda,post-rock,epic,amazing,ambient,art rock,atmospheric,beautiful,coisa de deus,experimental,instrumental
2782,Юлия Савичева,pop,russian,2003,2006,female,female vocalists,musica russa,my fav songs,russian pop,vocalista feminimo
2783,Mark Owen,90s,alternative,british,00s,my favs,the best,singer-songwriter,seen live,rock,pop
2784,BBMak,pop,because sometimes i feel like a 13-year-old teenie bopper,breakup music,breakup songs,british,childhood memories,chillout,dance,disney,english
2785,Cherry Ghost,acoustic,indie,00s,bittersweet pop,british,chillout,folk,indie rock,mellow,pop
2786,The Concretes,indie pop,female vocalists,sweet,better than metallica,female vocalists i like,happy,indie rock,quirky,sweden,swedish
2787,Bark Bark disco,adam green,jeffrey lewis,sweet,solofi,so lo-fi,post greatcore,modern lovers,juno,jonathan richman,indie
2788,Gotan Project,chillout,electronic,jazz,acoustic,amazing,downtempo,electronica,french,instrumental,seen live
2789,Conway Twitty,country,singer-songwriter,great song,sexy,sad,oldies,my favorite,miserable,memories,love songs
2790,Kenny Rogers,country,1969,great song,seen live,sad,pop,oldies,new country,my favorite,memories
2791,Randy Travis,country,80s,beautiful,classic country,great song,guilty pleasures,love songs,male vocalists,memories,my favorite
2792,Mickey Gilley,country,50s,60s,70s,80s,beautiful,great song,memories,my favorite,sun rockabilly
2793,Ghosts,british,indie,indie rock,pop,rock,alternative,britpop,happy,love it,special
2794,Falling Up,christian rock,christian,rock,alternative,alternative rock,cool as,diego,diego 12,gospel,indie luv
2795,Be Your Own Pet,female vocalists,indie,rock,american,be your own pet,dance,garage rock,indie pop,indie rock,new wave
2796,Prodigy,hip-hop,electronic,00s,alternative,american,electro trip,electronica,favorite,fix your damn tags,new york
2797,The Beautiful South,pop,british,cover,1992,numbers,transport,time,sweet,slowies,sex
2798,Blood Ruby,female vocalists,4ad,nice elevator music,gothic,gothic rock,heavenly voices,indie,indie pop,indie rock,mellow
2799,Bel Canto,electronic,bliss,blissrock,dream pop,dreampop,ethereal,experimental,favorites,gothic,icelandic
2800,Love Spirals Downwards,ethereal,ambient,darkwave,female vocalists,bliss,descoperiri,dream pop,dreampop,favorites,gothic
2801,Hope Sandoval & The Warm Inventions,singer-songwriter,female vocalists,acoustic,acoustic guitar,alternative,beautiful,dream pop,dreamy,folk,goddesses
2802,Low,indie,alternative,best christmas songs,chill,coffeeshop,dream pop,favorites,finale montage,indie rock,post-rock
2803,Destroyalldreamers,post-rock,dark,dreamy,drug music,energetic,math rock,newgaze,noise pop,post rock,shoegaze
2804,Ry Cooder,folk,singer-songwriter,blues,blues rock,classic rock,folk rock,guitar,instrumental,soundtrack,world
2805,Generation X,punk,british,new wave,british punk,punk rock,70s,77 punk,favorite,pop punk,rock
2806,The Slits,female vocalists,70s,british,post-punk,punk,80s,british punk,experimental,garage rock,girlamazing
2807,Mc Marcelly,american idol,baile funk,brazilian,funk,funk carioca,pop,remix,rnb,singer-songwriter,under 2000 listeners
2808,Broadcast,dream pop,electronica,indietronica,alternative,indie pop,electronic,synthpop,noise pop,female vocalists,90s
2809,Skazi,psychedelic,psychedelic trance,psytrance,trance,dark,electronic,goa,hard trance,hardcore trance,powerful
2810,Cibelle,bossa nova,brazilian,alternative,ambient,chillout,electronic,female vocalists,indie,lo-fi,mpb
2811,Audrey,00s,approfondire,cool,cuerdas,cut off,distortion,post rock,slow,slowcore,string
2812,Azure Ray,female vocalists,acoustic,jazz,riot grrl,pop,new weird america,mellow,love it,just chillin,indie pop
2813,Seventh Day Slumber,christian,christian rock,adoracao,alternative,diego,diego 12,diego12,gospel,jesus,jesus 12
2814,Sleeper,britpop,british,indie,female vocalists,alternative,cover,female,i buy singles for b-sides like this,rock,uk
2815,Trouble,doom metal,80s metal,classic rock,heavy metal,hidden gem,old school,stoner metal,strong lyrics,thrash,traditional doom metal
2816,Billy Squier,80s,classic rock,5-star,60s,70s,b side,hard rock,heavy,hidden gem,male vocals
2817,Bill Frisell,guitar,instrumental,acoustic,americana,avant-garde,contemporary jazz,jazz,jazz guitar,neo-americana,relaxing
2818,Dunham Van Durham,acoustic,americana,blues,folk,guitar,harmonica,instrumental,jazz,neo-americana,relaxing
2819,Cameron Mizell,acid jazz,funk,funk-jazz,funky,groove,guitar,instrumental,jam,jazz,organ trio
2820,Grant Green,jazz,jazz guitar,bebop,best,smooth,rhythmalizm,relaxing,post bop,lounge,jazzy
2821,Barry Manilow,pop,80s,oldies,1981,easy listening,seen live,my favorite,miserable,male vocalists,great song
2822,Stereo Total,dj gold,electro-pop,french,indie,indie pop,my electro feelings,neon space,oh electropop,riot grrrl,rock me babe
2823,Sérgio Mendes,bossa nova,jazz,alsolike,alternative,brazilian,covers,electronic,house,other great tracks,samba
2824,Melody Gardot,jazz,acoustic,blues,chillout,chill,female vocalists,rain,relaxing,singer-songwriter,smooth jazz
2825,Amanda Palmer,female vocalists,alternative,00s,alternative rock,american,cabaret,cover,covers,female,indie
2826,The Long Blondes,british,bliss,dream pop,female vocalists,female vocalists i like,girlamazing,interesting,riot grrrl,seen live,uk
2827,Lisa Loeb,female vocalists,indie,singer-songwriter,90s,alternative,btvs,favourite,female,pop,rock
2828,Señor Coconut,cover,acid jazz,electronica,samba,lounge,jazz,funk,female vocalists,faves,electronic
2829,The Velvet Teen,american,indie pop,indie rock,lo-fi,male vocalists,mellow,noise rock,pop,rock,usa
2830,Cheap Mondays,indie rock,alternative,indie,rock,alternative rock,bergamo,hypernova,italian,male vocalist,the bravery
2831,Television,punk,70s,classic rock,new wave,post-punk,proto-punk,rock,70s punk,american punk,art rock
2832,The Blue Nile,alternative,alternative rock,ballad,cars,college rock,colors,dream pop,english,jazz,male
2833,Nina Hagen,female vocalists,80s,blitz playlist,deutsch,deutsche welle,german,new wave,psychosis,punk,sickness
2834,The Black Heart Procession,alternative,beautiful,epic,gives me chills,indie,indie rock,melancholy,music to kill yourself to,no genre can describe,sleep music
2835,citizengreen,ambient,atlanta,reggae,post-rock,nophi,minimal,liquid apparatus,jam band,industrial,idm
2836,Lisa Stansfield,pop,female vocalists,soul,90s,british,1992,acid jazz,classic house,cover,female vocalist
2837,Snap!,dance,90s,electronic,1991,1992,1995,90s dance,club,eurodance,funk
2838,Hilary Chow,alternative,pop,indie,indie pop,indie rock,latin,live,local,metal,musical
2839,Meredith Brooks,rock,singer-songwriter,alternative,1997,90s,female vocalists,goddesses,guilty pleasures,leftovergrooves,love at first listen
2840,Buffalo Daughter,8600,instrumental music that makes you feel-group tag radio,punk,noise,mooog sings,mistagged track,japanese,japan,instrumental,9100
2841,OOIOO,experimental,avant garde,awesome-ness,berep guest dj closedmouth jfr,female vocalist,gladys the tag,japan,my angular favourites,noise,phosphorescent
2842,DJ Spooky,experimental,ambient,berep guest dj closedmouth 239645,check,downtempo,dub,electronic,electronica,i am a party girl here is my soundtrack,jazz
2843,Ms. Jade,aaliyah,bubba sparxxx,chill,female vocalist,ginuwine,justin timberlake,kiley dean,madonna,missy elliott,nelly furtado
2844,Kani Karaca,classical,coran,holy quran,malaysia idol,male vocalists,quran,rahmanin bulbulleri,sufi,turkce,turkish
2845,Abdelbasset Mohamed Abdessamad,egypt,lesser known yet streamable artists,ottoman,quran,rahmanin bulbulleri,best,kehf suresi,le saint quran,malaysia idol,sufi
2846,Yahya Hawwa,kari,kuran-i kerim,le saint coran,le saint quran,ottoman,quran,rahmanin bulbulleri,sufi,tilavet,world
2847,Emin Isak,coran,islamic,kari,malaysia idol,ottoman,qari,quran,sufi,turkish,world
2848,Cheikh Abdulbasset Abdussamad,best,egypt,kari,kuran-i kerim,nebe suresi,ottoman,quran,rahmanin bulbulleri,sufi,world
2849,New Boyz,hip-hop,rap,urban,10s,2010,catchy,electronic,fun,hip hop,jerk music
2850,Lunic,acme studios,lunic,megan berson,metric,muse,music,new york,paramore,pj harvey,ra ra riot
2851,Hypernova,indie,indie rock,post-punk,rock,garage rock,interpol,iran,male vocalists,new wave,she wants revenge
2852,Ximena Sariñana,indie,pop,alternative,hecho en mexico,latin,mexican,mexico,q sexy,riot grrl,rock
2853,Daniel Ghattas,ashley simpson,avril lavigne,uptempo,thought,soulmate,smallville,romantic,rain,pierre bouvier,pete wentz
2854,Harry Nilsson,70s,classic rock,rock,singer-songwriter,60s,folk,pop,soundtrack,bi daha dinlicem,covers
